field,code,description,explanation,status
Bird Status Extra Info,15,"Mouth swab, plus one or more auxiliary markers used.","Mouth swab, plus one or more auxiliary markers used. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for auxiliary markers.",
Bird Status Extra Info,16,Tracheal swab.,Tracheal swab.,
Bird Status Extra Info,17,"Tracheal swab, plus one or more auxiliary markers used.","Tracheal swab, plus one or more auxiliary markers used. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for auxiliary markers.",
Bird Status Extra Info,18,Blood sample taken.,Blood sample taken (contact the appropriate Bird Banding Office for the required permit). Use with all status codes except 7.,
Bird Status Extra Info,19,"Blood sample taken, plus auxiliary marker(s).",Blood sample (contact the appropriate Bird Banding Office for the required permit(s)) plus one or more auxiliary markers used. All markers must be described in marker-related fields. Use with all status codes except 7. Approval from the appropriate Banding Office is needed for use of auxiliary markers.,
Bird Status Extra Info,20,Fostered or cross-fostered into wild nests.,Fostered or cross-fostered into wild nests.,
Bird Status Extra Info,21,"Fostered or cross-fostered into wild nests, plus auxiliary marker(s).","Fostered or cross-fostered into wild nests, plus one or more auxiliary markers. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of auxiliary markers.",
Bird Status Extra Info,25,Two or more types of auxiliary markers.,"Two or more types of auxiliary markers (e.g., neck collar and color leg band or wing tag and radio transmitter). All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of auxiliary markers.",
Bird Status Extra Info,29,"Miscellaneous band, Federal band, plus auxiliary marker(s).","Miscellaneous band (see 06), Federal band, plus one or more auxiliary marker. All markers must be described in marker-related fields. Describe miscellaneous band type in Remarks. Approval from the appropriate Banding Office is needed for use of miscellaneous bands and auxiliary markers.",
Bird Status Extra Info,30,"Double-banded with Federal bands, plus auxiliary marker(s).","Double banded with TWO Federal bands (see 07), plus one or more auxiliary marker. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for double banding and the use of auxiliary markers. This code does not apply to a bird to whom a second band was added at a subsequent encounter.",
Bird Status Extra Info,33,"Taken from an artificial nest structure (eg, nest boxes, platforms, etc).","Taken from an artificial nest structure (e.g., nest boxes, platforms, etc.). Use with all status codes except 7. Includes hacked birds as code 433.",
Bird Status Extra Info,34,"Taken from an artificial nest structure, plus auxiliary marker(s).","Taken from an artificial nest structure, plus one or more auxiliary markers. All markers must be described in marker-related fields. Use with all status codes except 7. Includes hacked birds with auxiliary markers. Approval from the appropriate Banding Office is needed for use of auxiliary markers.",
Bird Status Extra Info,39,"Wing, patagial, head, back, and/or nape tag(s).","Wing, patagial, head, back, and/or nape tag(s). All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of patagial markers.",
Bird Status Extra Info,40,Oiled.,"Oiled. Use with status codes 4, 5 and 7 only.",
Bird Status Extra Info,41,"Oiled, plus one or more auxiliary markers used.","Oiled. Plus one or more auxiliary markers used. All markers must be described in marker-related fields. Use with status codes 4, 5 and 7 only. Approval from the appropriate Banding Office is needed for use of auxiliary markers.",
Bird Status Extra Info,51,Nasal saddle and nasal discs or other bill marker.,Nasal saddle and nasal discs or other bill marker - Marker must be described in marker-related fields and in Remarks if necessary. Approval from the appropriate Banding Office is needed for use of nasal saddles and nasal discs.,
Bird Status Extra Info,59,"Web tagged, usually coded.",Web tagged - Marker must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of web tags.,
Bird Status Extra Info,69,"Flag, streamer, or tab on leg.","Flag, streamer, or tab on leg - Marker must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of leg markers.",
Bird Status Extra Info,70,Captured by spotlighting.,"Spotlighted. Use with status codes 2, 3, 5 and 8 only.",
Bird Status Extra Info,71,"Captured by spotlighting, plus auxiliary marker(s).","Spotlighted, plus one or more auxiliary markers used. All markers must be described in marker-related fields. Use with status codes 2, 3, 5 and 8 only. Approval from the appropriate Banding Office is needed for use of auxiliary markers.",
Bird Status Extra Info,75,PIT tag,Equipped with PIT tag only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in Remarks. Approval from the appropriate Banding Office is needed for use of PIT tags.,
Bird Status Extra Info,80,Satellite/Cell/GPS transmitter,Equipped with Satellite/Cell/GPS transmitter only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in Remarks. Approval from the appropriate Banding Office is needed for use of Satellite/Cell/GPS transmitters.,
Bird Status Extra Info,81,Radio transmitter.,Equipped with radio transmitter only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in Remarks. Approval from the appropriate Banding Office is needed for use of radio transmitters.,
Bird Status Extra Info,85,Miscellaneous (combination or situation not covered by other ai codes).,"Miscellaneous (combination or situation not covered by other additional information codes) - An explanation is needed in Remarks. For example, a bird that was color-banded, sexed by laparotomy, and blood-sampled would be 385 with an explanation 385 = C/B, laparotomy, blood sample. All markers must be described in marker-related fields. Approval from the appropriate Banding Office may be needed.",
Bird Status Extra Info,87,Captured with drugs or tranquilizers.,Captured by means of drugs or tranquilizers. Use with all status codes except 4.,
Bird Status Extra Info,88,"Captured with drugs or tranquilizers, plus auxiliary marker(s).","Captured by means of drugs or tranquilizers, plus one or more auxiliary markers. All markers must be described in marker-related fields. Use with all status codes except 4.",
Bird Status Extra Info,89,"Transmitter. (Obsolete, see 80, 81)",Equipped with transmitter only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in Remarks. Approval from the appropriate Banding Office is needed for use of radio transmitters.,
Bird Status Extra Info,90,Data logger (including geolocators),Equipped with data logger only (see also additional information code 25) - Marker must be described in marker-related fields. Frequency and type of attachment may be listed in Remarks. Approval from the appropriate Banding Office is needed for use of data loggers.,
Bird Status Extra Info,99,(none).,(none),
Bird/Band Condition,0,UNKNOWN/UNKNOWN,,
Bird/Band Condition,1,UNKNOWN/LEFT ON BIRD,,
Bird/Band Condition,2,UNKNOWN/REMOVED,,
Bird/Band Condition,3,DEAD/UNKNOWN,,
Bird/Band Condition,4,DEAD/LEFT ON BIRD,,
Bird/Band Condition,5,DEAD/REMOVED,,
Bird/Band Condition,6,ALIVE - RELEASED/UNKNOWN,,
Bird/Band Condition,7,ALIVE - RELEASED/LEFT ON BIRD,,
Bird/Band Condition,8,ALIVE - RELEASED/REMOVED,,
Bird/Band Condition,9,ALIVE - IN CAPTIVITY/UNKNOWN,,
Bird/Band Condition,10,ALIVE - IN CAPTIVITY/LEFT ON BIRD,,
Bird/Band Condition,11,ALIVE - IN CAPTIVITY/REMOVED,,
Bird/Band Condition,12,ALIVE - UNKNOWN/UNKNOWN,,
Bird/Band Condition,13,ALIVE - UNKNOWN/LEFT ON BIRD,,
Bird/Band Condition,14,ALIVE - UNKNOWN/REMOVED,,
Band Status,0,Original band,,
Band Status,1,Replacement Band,,
Band Status,2,Additional Band,,
Band Status,4,Bands identified as multiple when encounter was loaded (but multi chain was not built),,
Band Status,5,Band lost,,
Band Status,6,Record lost,,
Band Status,7,Double banded 2nd,,
Band Status,8,Band destroyed,,
Band Status,F,Schedule In File (mostly band lost and band destroyed),,
Band Status,X,Banding Mortality,,
Marker Type,0,Federal Metal Band,,
Marker Type,00B,Federal Metal Band (Anodized),,
Marker Type,00C,Federal Metal Band (Painted),,
Marker Type,00D,Tape over Federal Band,,
Marker Type,1,Color Leg Band,,
Marker Type,01A,Plastic Color Leg Band,,
Marker Type,01B,Anodized Color Leg Band,,
Marker Type,01C,Painted alum. Color Leg Band,,
Marker Type,01D,Tape over alum. Color Leg Band,,
Marker Type,2,Neck Collar,,
Marker Type,3,Reward Band,,
Marker Type,6,"Misc. metal band (Foreign, State, Prov. etc.) with inscription",,
Marker Type,08A,Breast Dye/Paint,,
Marker Type,08B,Tail Dye/Paint,,
Marker Type,08C,Wing Dye/Paint,,
Marker Type,08D,Head/Neck Dye/Paint,,
Marker Type,08E,Multiple areas Dye/Paint,,
Marker Type,08F,Tail streamer Temporary Marker,,
Marker Type,08G,Imped feather Temporary Marker,,
Marker Type,08H,Glued Temporary Marker,,
Marker Type,08I,Misc. Temporary Marker,,
Marker Type,39,Wing/Head/Back Tag (obsolete),,
Marker Type,39A,Wing Tag,,
Marker Type,39B,Back Tag,,
Marker Type,39C,Head Tag,,
Marker Type,51A,Nasal Saddle,,
Marker Type,51B,Disk Nasal Marker,,
Marker Type,59,Web/Toe Tag,,
Marker Type,69,Leg Flag,,
Marker Type,75A,PIT tag (tail mount),,
Marker Type,75B,PIT tag (back pack),,
Marker Type,75C,PIT tag (leg attachment),,
Marker Type,75D,PIT tag (surgical implant),,
Marker Type,75E,PIT tag (subcutaneous),,
Marker Type,75F,PIT tag (neck attachment),,
Marker Type,75G,PIT tag (other),,
Marker Type,75H,PIT tag (leg-loop harness),,
Marker Type,75J,PIT tag (glue to skin or feathers),,
Marker Type,75K,PIT tag (prong and suture),,
Marker Type,80A,Satellite/Cell/GPS Transmitter (tail mount),,
Marker Type,80B,Satellite/ Cell/ GPS Transmitter (back pack),,
Marker Type,80C,Satellite/ Cell/ GPS Transmitter (leg attachment),,
Marker Type,80D,Satellite/ Cell/GPS Transmitter (surgical implant),,
Marker Type,80E,Satellite/ Cell/ GPS Transmitter (subcutaneous),,
Marker Type,80F,Satellite/ Cell/ GPS Transmitter (neck attachment),,
Marker Type,80G,Satellite/ Cell/ GPS Transmitter (other),,
Marker Type,80H,Satellite/Cell/GPS Transmitter (leg-loop harness),,
Marker Type,80J,Satellite/Cell/GPS Transmitter (glue to skin or feathers),,
Marker Type,80K,Satellite/Cell/GPS Transmitter (prong and suture),,
Marker Type,81A,Radio Transmitter (tail mount),,
Marker Type,81B,Radio Transmitter (back pack),,
Marker Type,81C,Radio Transmitter (leg attachment),,
Marker Type,81D,Radio Transmitter (surgical implant),,
Marker Type,81E,Radio Transmitter (subcutaneous),,
Marker Type,81F,Radio Transmitter (neck attachment),,
Marker Type,81G,Radio Transmitter (other),,
Marker Type,81H,Radio Transmitter (leg-loop harness),,
Marker Type,81J,Radio Transmitter (glue to skin or feathers),,
Marker Type,81K,Radio Transmitter (prong and suture),,
Marker Type,85,Misc.,,
Marker Type,89,Transmitter (obsolete),,
Marker Type,90A,Data Logger/Geolocator (tail mount),,
Marker Type,90B,Data Logger/Geolocator (back pack),,
Marker Type,90C,Data Logger/Geolocator (leg attachment),,
Marker Type,90D,Data Logger/Geolocator (surgical implant),,
Marker Type,90E,Data Logger/Geolocator (subcutaneous),,
Marker Type,90F,Data Logger/Geolocator (neck attachment),,
Marker Type,90G,Data Logger/Geolocator (other),,
Marker Type,90H,Data Logger/Geolocator (leg-loop harness),,
Marker Type,90J,Data Logger/Geolocator (glue to skin or feathers),,
Marker Type,90K,Data Logger/Geolocator (prong and suture),,
Color,1,Red,,
Color,2,Yellow,,
Color,3,Blue,,
Color,4,Green,,
Color,5,White,,
Color,6,Black,,
Color,7,Orange,,
Color,8,Gray,,
Color,9,Purple,,
Color,10,Lavender,,
Color,11,Gold,,
Color,12,Brown,,
Color,13,Silver,,
Color,14,Pink,,
Color,15,Magenta,,
Color,16,Mauve,,
Color,17,Miscellaneous,,
Color,18,Light Blue,,
Color,19,Dark Blue,,
Color,20,Light Green,,
Color,21,Dark Green,,
Color,22,Light Pink,,
Color,23,Hot Pink,,
Color,24,Maroon,,
Color,25,Aqua,,
Color,26,Azure,,
Color,27,Burgundy,,
Color,28,Chartreuse,,
Color,29,Flesh,,
Color,30,Lime,,
Color,31,Ochre,,
Color,32,Olive,,
Color,33,Tan,,
Color,34,Turquoise,,
Color,99,Multi-color,,
Color,100,Red/Cream,,
Color,102,Red/Yellow,,
Color,103,Red/Blue,,
Color,104,Red/Green,,
Color,105,Red/White,,
Color,106,Red/Black,,
Color,107,Red/Orange,,
Color,116,Red/Mauve,,
Color,118,Red/Light Blue,,
Color,119,Red/Dark Blue,,
Color,120,Red/Light Green,,
Color,121,Red/Dark Green,,
Color,122,Red/Light Pink,,
Color,134,Red/Turquoise,,
Color,201,Yellow/Red,,
Color,203,Yellow/Blue,,
Color,204,Yellow/Green,,
Color,205,Yellow/White,,
Color,206,Yellow/Black,,
Color,207,Yellow/Orange,,
Color,216,Yellow/Mauve,,
Color,218,Yellow/Light Blue,,
Color,219,Yellow/Dark Blue,,
Color,220,Yellow/Light Green,,
Color,221,Yellow/Dark Green,,
Color,222,Yellow/Light Pink,,
Color,223,Yellow/Hot Pink,,
Color,301,Blue/Red,,
Color,302,Blue/Yellow,,
Color,304,Blue/Green,,
Color,305,Blue/White,,
Color,306,Blue/Black,,
Color,307,Blue/Orange,,
Color,313,Blue/Silver,,
Color,322,Blue/Light Pink,,
Color,330,Blue/Hot Pink,,
Color,401,Green/Red,,
Color,402,Green/Yellow,,
Color,403,Green/Blue,,
Color,405,Green/White,,
Color,406,Green/Black,,
Color,407,Green/Orange,,
Color,409,Green/Purple,,
Color,413,Green/Silver,,
Color,414,Green/Pink,,
Color,416,Green/Mauve,,
Color,501,White/Red,,
Color,502,White/Yellow,,
Color,503,White/Blue,,
Color,504,White/Green,,
Color,506,White/Black,,
Color,507,White/Orange,,
Color,509,White/Purple,,
Color,516,White/Mauve,,
Color,518,White/Light Blue,,
Color,519,White/Dark Blue,,
Color,520,White/Light Green,,
Color,521,White/Dark Green,,
Color,523,White/Hot Pink,,
Color,601,Black/Red,,
Color,602,Black/Yellow,,
Color,603,Black/Blue,,
Color,604,Black/Green,,
Color,605,Black/White,,
Color,607,Black/Orange,,
Color,613,Black/Silver,,
Color,614,Black/Pink,,
Color,616,Black/Mauve,,
Color,618,Black/Light Blue,,
Color,621,Black/Dark Green,,
Color,623,Black/Hot Pink,,
Color,625,Black/Aqua,,
Color,630,Black/Lime,,
Color,701,Orange/Red,,
Color,702,Orange/Yellow,,
Color,703,Orange/Blue,,
Color,704,Orange/Green,,
Color,705,Orange/White,,
Color,706,Orange/Black,,
Color,712,Orange/Brown,,
Color,713,Orange/Silver,,
Color,716,Orange/Mauve,,
Color,719,Orange/Dark Blue,,
Color,721,Orange/Dark Green,,
Color,723,Orange/Hot Pink,,
Color,905,Purple/White,,
Color,1307,Silver/Orange,,
Color,1403,Pink/Blue,,
Color,1405,Pink/White,,
Color,1406,Pink/Black,,
Color,1601,Mauve/Red,,
Color,1602,Mauve/Yellow,,
Color,1603,Mauve/Blue,,
Color,1604,Mauve/Green,,
Color,1605,Mauve/White,,
Color,1606,Mauve/Black,,
Color,1607,Mauve/Orange,,
Color,1621,Mauve/Dark Green,,
Color,1623,Mauve/Hot Pink,,
Color,1806,Light Blue/Black,,
Color,1807,Light Blue/Orange,,
Color,1816,Light Blue/Mauve,,
Color,1819,Light Blue/Dark Blue,,
Color,1821,Light Blue/Dark Green,,
Color,1822,Light Blue/Light Pink,,
Color,1823,Light Blue/Hot Pink,,
Color,1901,Dark Blue/Red,,
Color,1906,Dark Blue/Black,,
Color,1907,Dark Blue/Orange,,
Color,1916,Dark Blue/Mauve,,
Color,1921,Dark Blue/Dark Green,,
Color,1922,Dark Blue/Light Pink,,
Color,1923,Dark Blue/Hot Pink,,
Color,2006,Light Green/Black,,
Color,2007,Light Green/Orange,,
Color,2012,Light Green/Brown,,
Color,2016,Light Green/Mauve,,
Color,2018,Light Green/Light Blue,,
Color,2019,Light Green/Dark Blue,,
Color,2021,Light Green/Dark Green,,
Color,2022,Light Green/Light Pink,,
Color,2023,Light Green/Hot Pink,,
Color,2203,Light Pink/Blue,,
Color,2206,Light Pink/Black,,
Color,2216,Light Pink/Mauve,,
Color,2221,Light Pink/Dark Green,,
Color,2306,Hot Pink/Black,,
Color,2319,Hot Pink/Dark Blue,,
Color,2321,Hot Pink/Dark Green,,
Color,2322,Hot Pink/Light Pink,,
Color,2507,Aqua/Orange,,
Color,3003,Hot Pink/Blue,,
Color,3006,Lime/Black,,
Disposition,1,Add (New Band),,
Disposition,4,Destroyed,,
Disposition,5,Replacing Band,,
Disposition,6,Added-To,,
Disposition,8,Band Lost,,
Disposition,9,Record Lost,,
Disposition,D,Double Banded 1st,,
Disposition,S,Double Banded 2nd,,
Disposition,X,Banding Mortality,,
