Year,BroodID,Visit,Date,Time,PlotID,Latitude,Longitude,Stage,HatchDate,AgeType,ChickAge_d,NumberChicks,Observer,ChickAgeEst_d,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,Comments
2023,1CX,1,6/24/2023,16:41,37 MI,64.85334,-166.08131,Brood,6/24/2023,Known,0,2,ZPohlen,,1CX,FEDG,1HU,FEDG,"2 chicks, 1 pipped egg, 1 egg with no signs of hatch in bowl"
2023,1CX,2,6/25/2023,9:07,37 MI,64.85334,-166.08131,Brood,6/24/2023,Known,1,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"3 chicks, 1 unhatched egg in bowl"
2023,1CX,3,6/26/2023,12:00,37 MI,64.85534,-166.07919,Brood,6/24/2023,Known,2,3,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,4,6/29/2023,16:34,37 MI,64.85156,-166.08131,Brood,6/24/2023,Known,5,3,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,5,7/2/2023,13:06,37 MI,64.85502,-166.07948,Brood,6/24/2023,Known,8,3,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,6,7/5/2023,12:12,37 MI,64.84035,-166.07830,Brood,6/24/2023,Known,11,2,ZPohlen,,1CX,FEDG,1HU,FEDG,
2023,1CX,7,7/8/2023,8:45,37 MI,64.83804,-166.06932,Brood,6/24/2023,Known,14,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1CX,8,7/11/2023,10:56,37 MI,64.83555,-166.07179,Brood,6/24/2023,Known,17,2,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1CX,9,7/15/2023,14:47,37 MI,64.83620,-166.07298,Fledge,6/24/2023,Known,21,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1CX,10,7/18/2023,19:47,37 MI,64.83844,-166.06918,Fledge,6/24/2023,Known,24,3,ZPohlen,,1CX,FEDG,1HU,FEDG,"1MT chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1JP,1,6/27/2023,18:20,Steven,64.84456,-166.02062,Brood,6/22/2023,Estimated,6,4,ZPohlen,,1JP,FEDG,,,
2023,1JP,2,6/30/2023,9:31,Steven,64.84439,-166.01918,Brood,6/22/2023,Estimated,9,3,ZPohlen,,1JP,FEDG,,,
2023,1JP,3,7/3/2023,19:19,Steven,64.84951,-166.00195,Brood,6/22/2023,Estimated,12,2,ZPohlen,,1JP,FEDG,,,
2023,1JP,4,7/6/2023,10:00,Steven,64.84868,-166.00445,Brood,6/22/2023,Estimated,15,3,ZPohlen,,1JP,FEDG,,,
2023,1JP,5,7/10/2023,13:20,Steven,64.85151,-165.99015,Brood,6/22/2023,Estimated,19,4,ZPohlen,,1JP,FEDG,,,
2023,1JP,6,7/16/2023,9:30,Steven,,,Not Found,6/22/2023,Estimated,,0,ZPohlen,,1JP,FEDG,,,"1JP heard from 37 on 7/15 but not found on 7/16. Scanned for 1JP on Steven, Feather West, Feather, and 34 and could not locate. Possibly fledged and left? Chicks would havwe been 25 days."
2023,1KU,1,7/5/2023,13:55,37 MI,64.84563,-166.08494,Brood,7/4/2023,Estimated,2,4,ZPohlen,,1KU,FEDG,,,
2023,1KU,2,7/8/2023,10:05,37 MI,64.84950,-166.09150,Brood,7/4/2023,Estimated,5,4,ZPohlen,,1KU,FEDG,,,
2023,1KU,3,7/11/2023,9:41,37 MI,64.84661,-166.08843,Brood,7/4/2023,Estimated,8,4,ZPohlen,,1KU,FEDG,,,
2023,1KU,4,7/15/2023,13:21,37 MI,64.84526,-166.08523,Brood,7/4/2023,Estimated,12,3,ZPohlen,,1KU,FEDG,,,
2023,1KU,5,7/18/2023,20:38,37 MI,64.84230,-166.08477,Brood,7/4/2023,Estimated,15,3,ZPohlen,,1KU,FEDG,,,
2023,1KU,6,7/21/2023,19:14,37 MI,64.85134,-166.08759,Brood,7/4/2023,Estimated,18,2,ZPohlen,,1KU,FEDG,,,
2023,1MH,1,6/23/2023,7:45,37 MI,64.84805,-166.08647,Brood,6/23/2023,Known,0,3,ZPohlen,,1MH,FEDG,1NY,FEDG,3 chicks in bowl
2023,1MH,2,6/26/2023,13:01,37 MI,64.84988,-166.08417,Brood,6/23/2023,Known,3,2,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,3,6/29/2023,17:12,37 MI,64.84565,-166.08788,Brood,6/23/2023,Known,6,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,4,7/2/2023,11:15,37 MI,64.84129,-166.08717,Brood,6/23/2023,Known,9,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,5,7/5/2023,12:44,37 MI,64.83983,-166.08142,Brood,6/23/2023,Known,12,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,6,7/8/2023,9:25,37 MI,64.84421,-166.08313,Brood,6/23/2023,Known,15,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,7,7/11/2023,10:08,37 MI,64.84106,-166.08638,Brood,6/23/2023,Known,18,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,8,7/15/2023,17:55,37 MI,64.84920,-166.08791,Fledge,6/23/2023,Known,22,1,ZPohlen,,1MH,FEDG,1NY,FEDG,
2023,1MH,9,7/18/2023,18:35,37 MI,64.84612,-166.08172,Fledge,6/23/2023,Known,25,2,ZPohlen,,1MH,FEDG,1NY,FEDG,"1PY from 1NL brood with 1MH and 1TK, adopted"
2023,1MN,1,7/7/2023,10:55,34 MI,64.81574,-165.99583,Brood,7/6/2023,Estimated,1,1,ZPohlen,,1MN,FEDG,1NM,FEDG,
2023,1MN,2,7/11/2023,15:30,34 MI,,,Not Found,7/6/2023,Estimated,,0,ZPohlen,,1MN,FEDG,1NM,FEDG,"Searched for 1MN + chick with radio and chick call, could not locate"
2023,1MP,1,6/21/2023,10:15,37 MI,64.84628,-166.08137,Brood,6/20/2023,Known,1,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,2,6/24/2023,11:28,37 MI,64.84514,-166.08385,Brood,6/20/2023,Known,4,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,3,6/26/2023,13:42,37 MI,64.84470,-166.08425,Brood,6/20/2023,Known,6,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,4,6/29/2023,17:46,37 MI,64.84658,-166.08109,Brood,6/20/2023,Known,9,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,5,7/2/2023,11:55,37 MI,64.84535,-166.08385,Brood,6/20/2023,Known,12,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,6,7/5/2023,10:45,37 MI,64.84211,-166.08388,Brood,6/20/2023,Known,15,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,7,7/8/2023,8:45,37 MI,64.82224,-166.03530,Brood,6/20/2023,Known,18,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,8,7/11/2023,11:49,37 MI,64.83660,-166.08348,Fledge,6/20/2023,Known,21,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MP,9,7/15/2023,16:48,37 MI,64.84112,-166.08508,Fledge,6/20/2023,Known,25,3,ZPohlen,,1MP,FEDG,1NE,FEDG,
2023,1MT,1,6/26/2023,11:18,37 MI,64.85340,-166.08630,Brood,6/26/2023,Known,0,1,ZPohlen,,1MT,FEDG,1NC,FEDG,2 chicks in bowl
2023,1MT,2,6/29/2023,16:15,37 MI,64.85178,-166.08498,Brood,6/26/2023,Known,3,2,ZPohlen,,1MT,FEDG,1NC,FEDG,
2023,1MT,3,7/2/2023,14:19,37 MI,64.85284,-166.08928,Brood,6/26/2023,Known,6,2,ZPohlen,,1MT,FEDG,1NC,FEDG,
2023,1MT,4,7/5/2023,11:40,37 MI,64.84147,-166.07942,Brood,6/26/2023,Known,9,1,ZPohlen,,1MT,FEDG,1NC,FEDG,
2023,1MT,5,7/8/2023,8:45,37 MI,64.83804,-166.06932,Brood,6/26/2023,Known,12,0,ZPohlen,,1MT,FEDG,1NC,FEDG,"1 chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1MT,6,7/11/2023,10:56,37 MI,64.83555,-166.07179,Brood,6/26/2023,Known,15,0,ZPohlen,,1MT,FEDG,1NC,FEDG,"1 chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1MT,7,7/15/2023,14:47,37 MI,,,Brood,6/26/2023,Known,19,0,ZPohlen,,1MT,FEDG,1NC,FEDG,"1 chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1MT,8,7/18/2023,19:47,37 MI,,,Fledge,6/26/2023,Known,22,0,ZPohlen,,1MT,FEDG,1NC,FEDG,"1 chick (39) adopted by 1CX, 1MT not detected w/ receiver"
2023,1MY,1,7/4/2023,9:55,34 MI,64.82364,-166.03580,Brood,7/4/2023,Known,0,4,ZPohlen,,1MY,FEDG,1EP,FEDG,4 chicks in bowl on first visit
2023,1MY,2,7/7/2023,16:38,34 MI,64.82379,-166.03838,Brood,7/4/2023,Known,3,4,ZPohlen,,1MY,FEDG,1EP,FEDG,
2023,1MY,3,7/10/2023,9:16,34 MI,64.82402,-166.03858,Brood,7/4/2023,Known,6,4,ZPohlen,,1MY,FEDG,1EP,FEDG,
2023,1MY,4,7/16/2023,9:24,34 MI,64.82343,-166.03942,Brood,7/4/2023,Known,12,3,ZPohlen,,1MY,FEDG,1EP,FEDG,
2023,1MY,5,7/18/2023,8:29,34 MI,64.82256,-166.03355,Brood,7/4/2023,Known,14,2,ZPohlen,,1MY,FEDG,1EP,FEDG,
2023,1MY,6,7/21/2023,17:17,34 MI,64.82609,-166.03692,Brood,7/4/2023,Known,17,3,ZPohlen,,1MY,FEDG,1EP,FEDG,
2023,1MY,7,7/23/2023,13:11,34 MI,64.82463,-166.03568,Brood,7/4/2023,Known,19,3,ZPohlen,,1MY,FEDG,1EP,FEDG,"Saw 3 chicks, only captured 1"
2023,1NL,1,6/24/2023,10:15,37 MI,64.85041,-166.08038,Brood,6/23/2023,Known,1,1,ZPohlen,,1NL,FEDG,6XH,FEDG,
2023,1NL,2,6/26/2023,12:46,37 MI,64.85031,-166.08085,Brood,6/23/2023,Known,3,1,ZPohlen,,1NL,FEDG,6XH,FEDG,
2023,1NL,3,6/29/2023,17:21,37 MI,64.84627,-166.08794,Brood,6/23/2023,Known,6,1,ZPohlen,,1NL,FEDG,6XH,FEDG,
2023,1NL,4,7/2/2023,11:31,37 MI,64.84269,-166.08393,Brood,6/23/2023,Known,9,1,ZPohlen,,1NL,FEDG,6XH,FEDG,
2023,1NL,5,7/5/2023,11:14,37 MI,64.84064,-166.08140,Brood,6/23/2023,Known,12,1,ZPohlen,,1NL,FEDG,6XH,FEDG,
2023,1NL,6,7/8/2023,9:48,37 MI,64.85090,-166.08123,Brood,6/23/2023,Known,15,1,ZPohlen,,1NL,FEDG,6XH,FEDG,
2023,1NL,7,7/11/2023,12:34,37 MI,64.84388,-166.08075,Brood,6/23/2023,Known,18,1,ZPohlen,,1NL,FEDG,6XH,FEDG,Hop-flying at 18 days
2023,1NL,8,7/15/2023,12:00,37 MI,,,Not Found,6/23/2023,Known,,0,ZPohlen,,1NL,FEDG,6XH,FEDG,"Could not located 1NL and chick on 37, radioed from 37 and 34, seems to be gone"
2023,1NL,9,7/18/2023,18:35,37 MI,64.84612,-166.08172,Fledge,6/23/2023,Known,25,0,ZPohlen,,1NL,FEDG,6XH,FEDG,"1PY from 1NL brood with 1MH and 1TK, adopted"
2023,1NN,1,7/3/2023,14:55,Feather,64.84146,-165.95891,Brood,7/2/2023,Known,1,4,ZPohlen,,1NN,FEDG,1PH,FEDG,4 chicks found 30m from bowl
2023,1NN,2,7/6/2023,11:15,Feather,64.84224,-165.94943,Brood,7/3/2023,Known,4,2,ZPohlen,,1NN,FEDG,1PH,FEDG,2 chicks (47 and 50) adopted by 1PN!
2023,1NN,3,7/12/2023,16:35,Feather,64.84620,-165.94685,Brood,7/3/2023,Known,10,2,ZPohlen,,1NN,FEDG,1PH,FEDG,
2023,1NN,4,7/16/2023,13:21,Feather,64.84522,-165.95093,Brood,7/3/2023,Known,14,2,ZPohlen,,1NN,FEDG,1PH,FEDG,
2023,1NN,5,7/22/2023,18:40,Feather,64.84862,-165.94324,Fledge,7/3/2023,Known,20,2,ZPohlen,,1NN,FEDG,1PH,FEDG,
2023,1PC,1,7/1/2023,14:44,34 MI,64.82364,-166.03580,Brood,7/1/2023,Known,0,3,ZPohlen,,1PC,FEDG,1NA,FEDG,3 chicks in bowl
2023,1PC,2,7/4/2023,8:53,34 MI,64.82384,-166.04020,Brood,7/1/2023,Known,3,3,ZPohlen,,1PC,FEDG,1NA,FEDG,
2023,1PC,3,7/7/2023,8:45,34 MI,64.82323,-166.03889,Brood,7/1/2023,Known,6,2,ZPohlen,,1PC,FEDG,1NA,FEDG,
2023,1PC,4,7/10/2023,10:00,34 MI,64.81903,-166.03583,Brood,7/1/2023,Known,9,3,ZPohlen,,1PC,FEDG,1NA,FEDG,
2023,1PC,5,7/16/2023,15:19,34 MI,64.81648,-166.01815,Brood,7/1/2023,Known,15,1,ZPohlen,,1PC,FEDG,1NA,FEDG,"Found chick with thermal, could be more, hot and sunny"
2023,1PC,6,7/18/2023,15:36,34 MI,64.81878,-166.03457,Brood,7/1/2023,Known,17,1,ZPohlen,,1PC,FEDG,1NA,FEDG,
2023,1PC,7,7/21/2023,16:34,34 MI,64.82116,-166.01345,Fledge,7/1/2023,Known,20,1,ZPohlen,,1PC,FEDG,1NA,FEDG,
2023,1PL,1,6/23/2023,11:50,Tombstone,64.94060,-166.20779,Brood,6/21/2023,Estimated,3,4,ZPohlen,,1PL,FEDG,,,
2023,1PL,2,6/26/2023,10:11,Tombstone,64.93512,-166.20959,Brood,6/21/2023,Estimated,6,4,ZPohlen,,1PL,FEDG,,,
2023,1PL,3,6/29/2023,15:01,Tombstone,64.93654,-166.21025,Brood,6/21/2023,Estimated,9,4,ZPohlen,,1PL,FEDG,,,
2023,1PL,4,7/2/2023,9:27,Tombstone,64.94117,-166.20730,Brood,6/21/2023,Estimated,12,2,ZPohlen,,1PL,FEDG,,,
2023,1PL,5,7/5/2023,9:29,Tombstone,64.93842,-166.21052,Brood,6/21/2023,Estimated,15,1,ZPohlen,,1PL,FEDG,,,
2023,1PL,6,7/7/2023,17:59,Tombstone,64.93808,-166.21133,Brood,6/21/2023,Estimated,17,1,ZPohlen,,1PL,FEDG,,,
2023,1PL,7,7/11/2023,14:01,Tombstone,64.93388,-166.20800,Fledge,6/21/2023,Estimated,21,1,ZPohlen,,1PL,FEDG,,,
2023,1PL,8,7/15/2023,20:23,Tombstone,64.93756,-166.21115,Fledge,6/21/2023,Estimated,25,1,ZPohlen,,1PL,FEDG,,,
2023,1PN,1,7/6/2023,11:50,Feather,64.84706,-165.94743,Brood,7/3/2023,Estimated,3,6,ZPohlen,,1PN,FEDG,,,1PN adopted 2 chicks from 1NN
2023,1PN,2,7/12/2023,17:00,Feather,,,Not Found,7/3/2023,Estimated,,0,ZPohlen,,1PN,FEDG,,,"Located 1PN with radio, was flying around and foraging, did not locate chicks"
2023,1PN,3,7/16/2023,14:00,Feather,,,Not Found,7/3/2023,Estimated,,0,ZPohlen,,1PN,FEDG,,,Did not located 1PN on Feather
2023,1PP,1,7/7/2023,12:20,34 MI,64.81538,-165.92691,Brood,7/5/2023,Estimated,2,4,ZPohlen,,1PP,FEDG,,,
2023,1PP,2,7/11/2023,17:42,34 MI,64.81572,-165.92424,Brood,7/5/2023,Estimated,6,4,ZPohlen,,1PP,FEDG,,,
2023,1PP,3,7/18/2023,11:37,34 MI,64.81756,-165.93160,Brood,7/5/2023,Estimated,13,4,ZPohlen,,1PP,FEDG,,,"Chick 668 died in lunchbox, unsure what caused death, S4 collected on 668. All 4 chicks very far apart at capture. Back feathers collected."
2023,1PP,4,7/23/2023,10:08,34 MI,64.81904,-165.92871,Brood,7/5/2023,Estimated,18,3,ZPohlen,,1PP,FEDG,,,S4 collected
2023,1PT,1,7/7/2023,14:00,34 MI,64.81614,-165.93060,Brood,7/6/2023,Estimated,1,3,ZPohlen,,1PT,FEDG,,,
2023,1PT,2,7/11/2023,17:11,34 MI,64.81617,-165.92765,Brood,7/6/2023,Estimated,5,3,ZPohlen,,1PT,FEDG,,,
2023,1PT,3,7/18/2023,10:20,34 MI,64.81734,-165.95676,Brood,7/6/2023,Estimated,12,2,ZPohlen,,1PT,FEDG,,,
2023,1PT,4,7/23/2023,9:04,34 MI,64.81723,-165.95895,Brood,7/6/2023,Estimated,17,1,ZPohlen,,1PT,FEDG,,,
